Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),"AW44-P-15KS(2,0)-160mm035-BP16(19)-060mm035US+FS-035_ohne Foamglas+ohne SD",0.2501,,,,X,20.07.2017,1294,,,light cyan,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-060mm035US+FS_ohne Foamglas +ohne SD,0.0476,,,,X,09.03.2017,1068,,,light cyan,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),"AW44-V-15KS(2,0)-160mm032-BP18(19)-100mm036US+FS ohne SD_ohne Foamglas",0.2821,,,,X,08.12.2016,974,,,light cyan,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-V-15PPW2-160mm032-BP18(19)-060mm040US+FS-040_ohne Foamglas +ohne SD_Ausgleichsstein PPW4,0.0424,,,,X,17.10.2018,1611,,,light cyan,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-V-15PPW2-160mm032-BP20(19)-140mm036US+FS-100mm036_ohne Foamglas + SD_Ausgleichsstein PPW4,0.1142,,,,X,29.09.2021,2294,,,light cyan,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-V-15PPW2-160mm035-BP16(19)-120mm036US+FS-120mm,0.0161,,,,X,24.08.2015,337,,,light cyan,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-V-15PPW2-160mm035-BP20(19)-060mm035US+FS_ohne Foamglas_ohne SD,0.0506,,,,X,19.11.2017,1379,,,light cyan,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-V-15PPW6-160mm032-BP20(19)-140mm036US+FS-100mm036_ohne Foamglas + SD,0.1390,,,,X,29.09.2021,2294,,,light cyan,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-15PPW2-100mm032-100mm032-BP16(19)-100mm036US+FS-100mm036_ohne Foamglas + OHNE hinterlüftet,0.0875,,,,X,13.04.2017,1142,Aktionshaus,Variante3,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-15PPW6-100mm032-100mm032-BP16(19)-100mm036US+FS-100mm036_ohne Foamglas + OHNE hinterlüftet,0.1090,,,,X,13.04.2017,1142,Aktionshaus,Variante2,,,
